a                             a
allumait                      allum
allume                        allum
allume'                       allum
allume'e                      allum
allume'es                     allum
allumer                       allum
allume's                      allum
allure                        allur
allures                       allur
allusion                      allus
allusions                     allus
almanach                      almanach
almaviva                      almaviv
alors                         alor
alouettes                     alouet
alourdie                      alourd
alpes                         alpe
alphabet                      alphabet
alphabets                     alphabet
alsace                        alsac
also                          also
altamira                      altam
alte'ra                       alter
alte'rait                     alter
alte're'                      alter
alte're'e                     alter
alte'rer                      alter
alte're's                     alter
alternative                   altern
alternatives                  altern
altesse                       altess
altesses                      altess
altier                        alti
altie`re                      altier
altitude                      altitud
alvizi                        alviz
alzar                         alzar
ama                           ama
amabilite'                    amabl
amadoue'                      amadou
amadouer                      amadou
amai                          amai
amaigris                      amaigr
amand                         amand
amanda                        amand
amant                         amant
amantes                       amant
amants                        amant
amarres                       amarr
amarre's                      amarr
amas                          amas
amassaient                    amass
amasse'                       amass
amasse'e                      amass
amateur                       amateur
amateurs                      amateur
ambassade                     ambassad
ambassadeur                   ambassadeur
ambassadeurs                  ambassadeur
ambigue"                      ambigu
ambitieuse                    ambiti
ambitieux                     ambiti
ambition                      ambit
ambulance                     ambul
ambulant                      ambul
ambulantes                    ambul
ambulants                     ambul
a^me                          a^me
amena                         amen
ame'nage'                     ame'nag
ame'nagements                 ame'nag
amenait                       amen
amende                        amend
amendes                       amend
ame`ne                        amen
amene'                        amen
amene'e                       amen
amener                        amen
ame`nera                      amen
ame`nerai                     amen
ame`nerait                    amen
amenez                        amen
ameni                         amen
amer                          amer
ame`re                        amer
ame`rement                    amer
ame`res                       amer
ame'ricain                    ame'ricain
ame'ricaine                   ame'ricain
ame'ricains                   ame'ricain
american                      american
ame'rique                     amer
amers                         amer
amertume                      amertum
a^mes                         a^me
ameublement                   ameubl
ameutant                      ameut
ami                           ami
amiable                       amiabl
amical                        amical
amicale                       amical
amicalement                   amical
amicizia                      amicizi
amie                          ami
amiens                        amien
amies                         ami
amis                          amis
amitie'                       amiti
amitie's                      amiti
amoindri                      amoindr
amor                          amor
amorce                        amorc
amorces                       amorc
amortir                       amort
amortirait                    amort
amour                         amour
amourache'e                   amourach
amoureuse                     amour
amoureusement                 amour
amoureux                      amour
amours                        amour
amphigouriques                amphigour
amphion                       amphion
amphithe'a^tre                amphithe'a^tr
ample                         ample
amplification                 amplif
amplifications                amplif
ampute's                      amput
amusa                         amus
amusaient                     amus
amusait                       amus
amusant                       amus
amusante                      amus
amusantes                     amus
amusants                      amus
amuse                         amus
amuse'                        amus
amusement                     amus
amuser                        amus
amusera                       amus
an                            an
anachore`te                   anachoret
anachronisme                  anachron
analyser                      analys
ananas                        anan
anathe`me                     anathem
anathe`mes                    anathem
ance^tres                     ance^tr
ancien                        ancien
ancienne                      ancien
anciennes                     ancien
anciens                       ancien
ancre                         ancre
ancre's                       ancre'
and                           and
andaman                       andaman
anderson                      anderson
andrew                        andrew
andryane                      andryan
ane'anti                      ane'ant
ane'antie                     ane'ant
ane'antir                     ane'ant
ane'antis                     ane'ant
ane'antissait                 ane'ant
ane'antit                     ane'ant
anecdote                      anecdot
anecdotes                     anecdot
anecdotique                   anecdot
a^nerie                       a^ner
anetta                        anet
ange                          ange
angela                        angel
angelica                      angelic
ange'lina                     ange'lin
ange'lique                    angel
anges                         ange
anglais                       anglais
anglaise                      anglais
anglaises                     anglais
angle                         angle
angles                        angle
angleterre                    angleterr
anglo                         anglo
angoisse                      angoiss
angoisses                     angoiss
angoule^me                    angoule^m
aniken                        aniken
anima                         anim
animaient                     anim
animait                       anim
animal                        animal
animant                       anim
animation                     anim
animaux                       animal
anime                         anim
anime'                        anim
anime'e                       anim
anime'es                      anim
animer                        anim
anime`rent                    anim
anime's                       anim
annales                       annal
annam                         annam
anneau                        anneau
anne'e                        anne'
anne'es                       anne'
annexait                      annex
annibal                       annibal
anno                          anno
annonc,a                      annonc
annonc,aient                  annonc
annonc,ait                    annonc
annonc,ant                    annonc
annonce                       annonc
annonce'                      annonc
annonce'e                     annonc
annonce'es                    annonc
annoncent                     annoncent
annoncer                      annonc
annoncerait                   annonc
annonce`rent                  annonc
annoncerez                    annonc
annonces                      annonc
annonce's                     annonc
annuel                        annuel
annuelle                      annuel
annuellement                  annuel
annule'                       annul
annule'e                      annul
annuleront                    annul
anobli                        anobl
anoblir                       anobl
anoblis                       anobl
anoblissement                 anobl
anoblit                       anobl
anodines                      anodin
a^nonna                       a^non
anonyme                       anonym
anonymement                   anonym
anonymes                      anonym
ans                           an
anse                          anse
antagoniste                   antagon
ante'rieure                   ante'rieur
ante'rieurs                   ante'rieur
anthropophages                anthropophag
anti                          anti
antibes                       antib
antichambre                   antichambr
antichambres                  antichambr
antidata                      antidat
antidate'e                    antidat
antige'ne'reuses              antige'ner
antijacobine                  antijacobin
antimonarchique               antimonarch
antipathie                    antipath
antipathique                  antipath
antipode                      antipod
antipodes                     antipod
antiquaires                   antiquair
antique                       antiqu
antiques                      antiqu
antiquite'                    antiqu
antiquite's                   antiqu
antithe`se                    antithes
antoine                       antoin
anxie'te'                     anxiet
anxieux                       anxieux
any                           any
aouda                         aoud
aou^t                         aou^t
apaisa                        apais
apaise'e                      apais
apaiser                       apais
apaisera                      apais
apathie                       apath
apathique                     apath
apennin                       apennin
apens                         apen
apercevait                    apercev
apercevant                    apercev
apercevoir                    apercevoir
apercevons                    apercevon
apercevrait                   apercevr
aperc,ois                     aperc,ois
aperc,oit                     aperc,oit
aperc,oive                    aperc,o
aperc,u                       aperc,u
aperc,ue                      aperc,u
aperc,urent                   aperc,urent
aperc,us                      aperc,us
aperc,ut                      aperc,ut
aperc,u^t                     aperc,u^t
aplaties                      aplat
aplatit                       aplat
aplomb                        aplomb
apocalypse                    apocalyps
apocalyptique                 apocalypt
apoplectique                  apoplect
apoplexie                     apoplex
apoplexies                    apoplex
apostat                       apostat
aposte'                       apost
apostille                     apostill
apostolique                   apostol
apostoliques                  apostol
apothicaire                   apothicair
apo^tre                       apo^tr
apo^tres                      apo^tr
apparaissaient                apparaiss
apparaissait                  apparaiss
apparait                      appar
apparai^t                     apparai^t
apparai^trait                 apparai^tr
apparai^tre                   apparai^tr
apparat                       apparat
appareil                      appareil
appareillait                  appareil
appareiller                   appareil
appareils                     appareil
apparemment                   apparent
apparence                     apparent
apparences                    apparent
apparent                      apparent
apparente                     apparent
apparition                    apparit
apparitions                   apparit
appartement                   appart
appartements                  appart
appartenaient                 apparten
appartenait                   apparten
appartenant                   apparten
appartenir                    apparten
appartenu                     appartenu
appartiendront                appartiendront
appartiennent                 appartiennent
appartient                    appartient
appartint                     appartint
apparti^nt                    apparti^nt
apparu                        apparu
apparut                       apparut
appa^t                        appa^t
appel                         appel
appela                        appel
appelaient                    appel
appelait                      appel
appelant                      appel
appela^t                      appel
appele'                       appel
appele'e                      appel
appele'es                     appel
appeler                       appel
appele's                      appel
appelez                       appel
appelle                       appel
appellent                     appellent
appellera                     appel
appellerai                    appel
appellerait                   appel
appellerez                    appel
appelleront                   appel
appelles                      appel
appendices                    appendic
appert                        appert
appesantie                    appesant
appesantis                    appesant
appe'tit                      appet
applaudi                      applaud
applaudie                     applaud
applaudir                     applaud
applaudirent                  applaud
applaudissaient               applaud
applaudissements              applaud
applaudit                     applaud
applicables                   applic
application                   appliqu
appliqua                      appliqu
appliquait                    appliqu
applique                      appliqu
applique'                     appliqu
applique'e                    appliqu
appliquer                     appliqu
appliquez                     appliqu
appoint                       appoint
appointements                 appoint
appointe's                    appoint
apporta                       apport
apportaient                   apport
apportait                     apport
apportant                     apport
apporte                       apport
apporte'                      apport
apporte'e                     apport
apporte'es                    apport
apporter                      apport
apporterai                    apport
apporterait                   apport
apporte's                     apport
apportez                      apport
apportiez                     apport
apposa                        appos
apposer                       appos
appose's                      appos
appre'cie                     apprec
appre'cie'e                   appre'ci
appre'cier                    appre'ci
appre'cie's                   appre'ci
appre'hension                 appre'hens
apprenaient                   appren
apprenait                     appren
apprenant                     appren
apprend                       apprend
apprendra                     apprendr
apprendrais                   apprendr
apprendrait                   apprendr
apprendre                     apprendr
apprendrez                    apprendr
apprendrions                  apprendr
apprendront                   apprendront
apprends                      apprend
apprenez                      appren
apprennes                     appren
